Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Cross-Subject,Subject19,lcc,SVM,22,0.5016722408026756,0.47963947793352835,20.78208351135254,0.5254552211073951
Subject-Dependent,Subject19,lcc,KNN,30,0.4885145482388974,0.4865528743707472,0.0061876773834228516,0.5513016845329249
Cross-Subject,Subject19,lcc,KNN,22,0.5024154589371981,0.5026416010391507,0.0534663200378418,0.5254552211073951
Subject-Dependent,Subject19,lcc,RF,30,0.554364471669219,0.5485642379620335,0.7202885150909424,0.5513016845329249
Cross-Subject,Subject19,lcc,RF,22,0.5035302861389818,0.5037398725015335,15.18826174736023,0.5254552211073951
Subject-Dependent,Subject19,lcc,DT,30,0.5007656967840735,0.4999647260211874,0.32071542739868164,0.5513016845329249
Cross-Subject,Subject19,lcc,DT,22,0.48420661464139725,0.48428866976608764,39.352901458740234,0.5254552211073951
Subject-Dependent,Subject19,lcc,GBoosting,30,0.5298621745788668,0.5166985975437258,17.60590410232544,0.5513016845329249
Cross-Subject,Subject19,lcc,GBoosting,22,0.496098104793757,0.49640801954572505,211.85638236999512,0.5254552211073951
Subject-Dependent,Subject19,pca,SVM,42,0.5252679938744257,0.5243124894706992,0.6667406558990479,0.5513016845329249
Cross-Subject,Subject19,pca,SVM,37,0.5150501672240803,0.5008620078905257,25.658549547195435,0.5254552211073951
Subject-Dependent,Subject19,pca,KNN,42,0.5252679938744257,0.5224375347700592,0.0064160823822021484,0.5513016845329249
Cross-Subject,Subject19,pca,KNN,37,0.5091044221479004,0.508854072159244,0.07615399360656738,0.5254552211073951
Subject-Dependent,Subject19,pca,RF,42,0.5038284839203675,0.5042581123339612,3.1849493980407715,0.5513016845329249
Cross-Subject,Subject19,pca,RF,37,0.5109624674842066,0.5031756869285474,33.92505598068237,0.5254552211073951
Subject-Dependent,Subject19,pca,DT,42,0.5176110260336907,0.5186754299207642,1.9337563514709473,0.5513016845329249
Cross-Subject,Subject19,pca,DT,37,0.4901523597175771,0.4903558993113688,56.8107488155365,0.5254552211073951
Subject-Dependent,Subject19,pca,GBoosting,42,0.5191424196018377,0.5194920243007086,32.13254404067993,0.5513016845329249
Cross-Subject,Subject19,pca,GBoosting,37,0.5120772946859904,0.5059873343525695,242.47486114501953,0.5254552211073951
Subject-Dependent,Subject1,none,SVM,84,0.6064318529862175,0.6073279008352636,0.9440453052520752,0.5513016845329249
Cross-Subject,Subject1,none,SVM,84,0.5072463768115942,0.4152909903773127,116.72130155563354,0.5254552211073951
Subject-Dependent,Subject1,none,KNN,84,0.555895865237366,0.5551833452335717,0.40532994270324707,0.5513016845329249
Cross-Subject,Subject1,none,KNN,84,0.5247120029728726,0.5210795523860933,1.1791234016418457,0.5254552211073951
Subject-Dependent,Subject1,none,RF,84,0.6355283307810107,0.6340141948235066,9.338938236236572,0.5513016845329249
Cross-Subject,Subject1,none,RF,84,0.5589000371609067,0.5455791606805308,47.95643186569214,0.5254552211073951
Subject-Dependent,Subject1,none,DT,84,0.5252679938744257,0.5256790580973087,3.5314178466796875,0.5513016845329249
Cross-Subject,Subject1,none,DT,84,0.5325157933853586,0.5310608876678605,76.54186296463013,0.5254552211073951
Subject-Dependent,Subject1,none,GBoosting,84,0.6539050535987749,0.652970258936852,13.594698667526245,0.5513016845329249
Cross-Subject,Subject1,none,GBoosting,84,0.5507246376811594,0.5416346537164309,522.241443157196,0.5254552211073951
Subject-Dependent,Subject1,anova,SVM,25,0.6401225114854517,0.6401787885744477,1.998321533203125,0.5513016845329249
Cross-Subject,Subject1,anova,SVM,30,0.5410628019323671,0.5403133232270445,83.96610713005066,0.5254552211073951
Subject-Dependent,Subject1,anova,KNN,25,0.55895865237366,0.5600776259111446,0.004083395004272461,0.5513016845329249
Cross-Subject,Subject1,anova,KNN,30,0.5317725752508361,0.529183076879378,0.3744213581085205,0.5254552211073951
Subject-Dependent,Subject1,anova,RF,25,0.6355283307810107,0.6354090438631261,3.531641721725464,0.5513016845329249
Cross-Subject,Subject1,anova,RF,30,0.5559271646228168,0.5307075472535409,54.83773875236511,0.5254552211073951
Subject-Dependent,Subject1,anova,DT,25,0.5482388973966309,0.5494248535788822,1.3445322513580322,0.5513016845329249
Cross-Subject,Subject1,anova,DT,30,0.5176514306949089,0.5156791532952945,35.329078912734985,0.5254552211073951
Subject-Dependent,Subject1,anova,GBoosting,25,0.6401225114854517,0.6409418548493655,3.3227767944335938,0.5513016845329249
Cross-Subject,Subject1,anova,GBoosting,30,0.5637309550353029,0.5343661857024634,183.7203266620636,0.5254552211073951
Subject-Dependent,Subject1,fi,SVM,25,0.6125574272588055,0.6130354970220007,2.448068857192993,0.5513016845329249
Cross-Subject,Subject1,fi,SVM,25,0.4882943143812709,0.38920636177652684,100.47933959960938,0.5254552211073951
Subject-Dependent,Subject1,fi,KNN,25,0.555895865237366,0.5555209039618149,0.005528688430786133,0.5513016845329249
Cross-Subject,Subject1,fi,KNN,25,0.5157933853586028,0.5142641043941676,0.12122011184692383,0.5254552211073951
Subject-Dependent,Subject1,fi,RF,25,0.6508422664624809,0.6479614769126215,1.146385908126831,0.5513016845329249
Cross-Subject,Subject1,fi,RF,25,0.5224823485693051,0.512170522419513,42.86597990989685,0.5254552211073951
Subject-Dependent,Subject1,fi,DT,25,0.5620214395099541,0.5631703086396876,1.0995779037475586,0.5513016845329249
Cross-Subject,Subject1,fi,DT,25,0.5094760312151616,0.5085997598316403,43.23627281188965,0.5254552211073951
Subject-Dependent,Subject1,fi,GBoosting,25,0.6569678407350689,0.6555427715985944,4.349726676940918,0.5513016845329249
Cross-Subject,Subject1,fi,GBoosting,25,0.5325157933853586,0.5267216987333513,150.9707043170929,0.5254552211073951
Subject-Dependent,Subject1,lcc,SVM,34,0.6064318529862175,0.6073701717126805,0.41172122955322266,0.5513016845329249
Cross-Subject,Subject1,lcc,SVM,19,0.5351170568561873,0.5171007955595337,51.240689516067505,0.5254552211073951
Subject-Dependent,Subject1,lcc,KNN,34,0.5513016845329249,0.5522917491009014,0.031341552734375,0.5513016845329249
Cross-Subject,Subject1,lcc,KNN,19,0.5295429208472687,0.5234636935914091,0.29244065284729004,0.5254552211073951
Subject-Dependent,Subject1,lcc,RF,34,0.6339969372128637,0.6339379303532799,1.940028429031372,0.5513016845329249
Cross-Subject,Subject1,lcc,RF,19,0.5525826830174656,0.5230456985399321,26.764987230300903,0.5254552211073951
Subject-Dependent,Subject1,lcc,DT,34,0.5620214395099541,0.5631751423486047,1.4521498680114746,0.5513016845329249
Cross-Subject,Subject1,lcc,DT,19,0.5191378669639539,0.5179374362728512,24.398173809051514,0.5254552211073951
Subject-Dependent,Subject1,lcc,GBoosting,34,0.6294027565084227,0.6303552244291284,29.901544094085693,0.5513016845329249
Cross-Subject,Subject1,lcc,GBoosting,19,0.5626161278335191,0.5193629453323252,118.94182252883911,0.5254552211073951
Subject-Dependent,Subject1,pca,SVM,43,0.6003062787136294,0.6012592016226054,0.8165600299835205,0.5513016845329249
Cross-Subject,Subject1,pca,SVM,35,0.5250836120401338,0.5035288325415159,93.23345494270325,0.5254552211073951
Subject-Dependent,Subject1,pca,KNN,43,0.5252679938744257,0.5259539970360755,0.005625009536743164,0.5513016845329249
Cross-Subject,Subject1,pca,KNN,35,0.5284280936454849,0.5254456038074036,0.11992597579956055,0.5254552211073951
Subject-Dependent,Subject1,pca,RF,43,0.5941807044410413,0.5943652057581861,3.099163770675659,0.5513016845329249
Cross-Subject,Subject1,pca,RF,35,0.5536975102192494,0.5260168910847591,31.872340440750122,0.5254552211073951
Subject-Dependent,Subject1,pca,DT,43,0.5359877488514548,0.5367955540811221,1.7766666412353516,0.5513016845329249
Cross-Subject,Subject1,pca,DT,35,0.5336306205871423,0.5322847361832601,37.14368677139282,0.5254552211073951
Subject-Dependent,Subject1,pca,GBoosting,43,0.5681470137825421,0.568771055368301,6.5675036907196045,0.5513016845329249
Cross-Subject,Subject1,pca,GBoosting,35,0.5406911928651059,0.49204644740488857,205.9945046901703,0.5254552211073951
Subject-Dependent,Subject20,none,SVM,84,0.5666156202143952,0.5668717521483292,1.8053903579711914,0.5513016845329249
Cross-Subject,Subject20,none,SVM,84,0.5031586770717206,0.47933134847179615,153.25148844718933,0.5254552211073951
Subject-Dependent,Subject20,none,KNN,84,0.5834609494640123,0.5821423857266177,0.0056722164154052734,0.5513016845329249
Cross-Subject,Subject20,none,KNN,84,0.5287997027127462,0.5278145930856964,0.7560031414031982,0.5254552211073951
Subject-Dependent,Subject20,none,RF,84,0.5620214395099541,0.5631768329663395,3.4445810317993164,0.5513016845329249
Cross-Subject,Subject20,none,RF,84,0.5466369379412858,0.5291306806477433,58.84768486022949,0.5254552211073951
Subject-Dependent,Subject20,none,DT,84,0.5237366003062787,0.5242638641997345,3.5267701148986816,0.5513016845329249
Cross-Subject,Subject20,none,DT,84,0.5157933853586028,0.5153032550714874,42.54799747467041,0.5254552211073951
Subject-Dependent,Subject20,none,GBoosting,84,0.5727411944869831,0.5717909842946701,15.52447509765625,0.5513016845329249
Cross-Subject,Subject20,none,GBoosting,84,0.5696767001114827,0.5499263925711573,530.9285793304443,0.5254552211073951
Subject-Dependent,Subject20,anova,SVM,41,0.5635528330781011,0.5634824692497271,3.140676498413086,0.5513016845329249
Cross-Subject,Subject20,anova,SVM,30,0.5109624674842066,0.5068459239555717,64.00667834281921,0.5254552211073951
Subject-Dependent,Subject20,anova,KNN,41,0.5436447166921899,0.5447900961633011,0.005440711975097656,0.5513016845329249
Cross-Subject,Subject20,anova,KNN,30,0.5228539576365663,0.5220015845635047,0.1531836986541748,0.5254552211073951
Subject-Dependent,Subject20,anova,RF,41,0.5436447166921899,0.544836497146904,2.5002033710479736,0.5513016845329249
Cross-Subject,Subject20,anova,RF,30,0.5548123374210331,0.5443043102544559,44.08511400222778,0.5254552211073951
Subject-Dependent,Subject20,anova,DT,41,0.5099540581929556,0.5112395061702799,2.4987311363220215,0.5513016845329249
Cross-Subject,Subject20,anova,DT,30,0.5250836120401338,0.5249659894376482,54.14782238006592,0.5254552211073951
Subject-Dependent,Subject20,anova,GBoosting,41,0.5497702909647779,0.5507913110858387,5.418485403060913,0.5513016845329249
Cross-Subject,Subject20,anova,GBoosting,30,0.5510962467484206,0.5436801420511413,194.1808729171753,0.5254552211073951
Subject-Dependent,Subject20,fi,SVM,26,0.5436447166921899,0.5416648858984382,1.7433340549468994,0.5513016845329249
Cross-Subject,Subject20,fi,SVM,28,0.5183946488294314,0.4917174259306969,88.5077977180481,0.5254552211073951
Subject-Dependent,Subject20,fi,KNN,26,0.5620214395099541,0.5626543327494116,0.004045248031616211,0.5513016845329249
Cross-Subject,Subject20,fi,KNN,28,0.5176514306949089,0.5136604416416375,0.07161903381347656,0.5254552211073951
Subject-Dependent,Subject20,fi,RF,26,0.5650842266462481,0.5656167415964523,1.0291836261749268,0.5513016845329249
Cross-Subject,Subject20,fi,RF,28,0.5603864734299517,0.5417761887901024,39.161062717437744,0.5254552211073951
Subject-Dependent,Subject20,fi,DT,26,0.5666156202143952,0.5677461642488622,1.2778949737548828,0.5513016845329249
Cross-Subject,Subject20,fi,DT,28,0.5202526941657376,0.519305467387029,47.222957611083984,0.5254552211073951
Subject-Dependent,Subject20,fi,GBoosting,26,0.5650842266462481,0.564870032667814,4.247027635574341,0.5513016845329249
Cross-Subject,Subject20,fi,GBoosting,28,0.5574136008918618,0.5341452690183799,194.94393754005432,0.5254552211073951
Subject-Dependent,Subject20,lcc,SVM,39,0.5604900459418071,0.5610323622344435,0.4173135757446289,0.5513016845329249
Cross-Subject,Subject20,lcc,SVM,22,0.5161649944258639,0.5082688247874907,83.47434258460999,0.5254552211073951
Subject-Dependent,Subject20,lcc,KNN,39,0.5344563552833078,0.5356528439109712,0.04452776908874512,0.5513016845329249
Cross-Subject,Subject20,lcc,KNN,22,0.5269416573764399,0.5257005052048147,0.3286910057067871,0.5254552211073951
Subject-Dependent,Subject20,lcc,RF,39,0.5421133231240429,0.5433188970819893,1.932966709136963,0.5513016845329249
Cross-Subject,Subject20,lcc,RF,22,0.5392047565960609,0.5278777520352224,17.025374174118042,0.5254552211073951
Subject-Dependent,Subject20,lcc,DT,39,0.5467075038284839,0.5476504199565364,0.7026662826538086,0.5513016845329249
Cross-Subject,Subject20,lcc,DT,22,0.4968413229282794,0.4965457702627126,9.865245819091797,0.5254552211073951
Subject-Dependent,Subject20,lcc,GBoosting,39,0.5298621745788668,0.5309549407869244,7.856231927871704,0.5513016845329249
Cross-Subject,Subject20,lcc,GBoosting,22,0.5354886659234486,0.5227708950490657,223.98178577423096,0.5254552211073951
Subject-Dependent,Subject20,pca,SVM,43,0.5620214395099541,0.5630146767705778,2.2437355518341064,0.5513016845329249
Cross-Subject,Subject20,pca,SVM,35,0.5102192493496841,0.5086820628451443,49.295576095581055,0.5254552211073951
Subject-Dependent,Subject20,pca,KNN,43,0.55895865237366,0.5566549695224376,0.004738807678222656,0.5513016845329249
Cross-Subject,Subject20,pca,KNN,35,0.5269416573764399,0.5254475862576939,0.06012845039367676,0.5254552211073951
Subject-Dependent,Subject20,pca,RF,43,0.552833078101072,0.5540109844957782,1.4117138385772705,0.5513016845329249
Cross-Subject,Subject20,pca,RF,35,0.5366034931252323,0.5268093795418796,24.530964374542236,0.5254552211073951
Subject-Dependent,Subject20,pca,DT,43,0.5359877488514548,0.5371495969105068,0.5906715393066406,0.5513016845329249
Cross-Subject,Subject20,pca,DT,35,0.5068747677443329,0.5064912112126345,16.029258728027344,0.5254552211073951
Subject-Dependent,Subject20,pca,GBoosting,43,0.5513016845329249,0.5522917491009014,7.43790864944458,0.5513016845329249
Cross-Subject,Subject20,pca,GBoosting,35,0.5328874024526199,0.5181291896054897,222.35117602348328,0.5254552211073951
Subject-Dependent,Subject2,none,SVM,84,0.6339969372128637,0.6312711765421545,0.5619981288909912,0.5513016845329249
Cross-Subject,Subject2,none,SVM,84,0.4868078781122259,0.3615873285204173,138.1214702129364,0.5254552211073951
Subject-Dependent,Subject2,none,KNN,84,0.5819295558958653,0.5793167690968826,0.20233821868896484,0.5513016845329249
Cross-Subject,Subject2,none,KNN,84,0.5321441843180974,0.5309166818954137,0.6914405822753906,0.5254552211073951
Subject-Dependent,Subject2,none,RF,84,0.6998468606431854,0.6994821938681904,3.9291255474090576,0.5513016845329249
Cross-Subject,Subject2,none,RF,84,0.5562987736900781,0.5528155146527098,51.29260206222534,0.5254552211073951
Subject-Dependent,Subject2,none,DT,84,0.5620214395099541,0.5591562515437435,2.3105506896972656,0.5513016845329249
Cross-Subject,Subject2,none,DT,84,0.5146785581568191,0.5149040875071937,55.72213959693909,0.5254552211073951
Subject-Dependent,Subject2,none,GBoosting,84,0.678407350689127,0.6777600735124091,14.64988112449646,0.5513016845329249
Cross-Subject,Subject2,none,GBoosting,84,0.5600148643626904,0.557476348689444,545.0073730945587,0.5254552211073951
Subject-Dependent,Subject2,anova,SVM,46,0.6294027565084227,0.6235293472538725,1.757422924041748,0.5513016845329249
Cross-Subject,Subject2,anova,SVM,30,0.4916387959866221,0.40323936664960175,60.26012372970581,0.5254552211073951
Subject-Dependent,Subject2,anova,KNN,46,0.6263399693721287,0.6213309044155976,0.005123615264892578,0.5513016845329249
Cross-Subject,Subject2,anova,KNN,30,0.5102192493496841,0.5099569671677727,0.37469959259033203,0.5254552211073951
Subject-Dependent,Subject2,anova,RF,46,0.7013782542113323,0.7000054740780831,6.559821367263794,0.5513016845329249
Cross-Subject,Subject2,anova,RF,30,0.5700483091787439,0.5662725869435379,52.43792915344238,0.5254552211073951
Subject-Dependent,Subject2,anova,DT,46,0.6003062787136294,0.6006493771321287,1.9417991638183594,0.5513016845329249
Cross-Subject,Subject2,anova,DT,30,0.5035302861389818,0.5036333472255564,28.971437692642212,0.5254552211073951
Subject-Dependent,Subject2,anova,GBoosting,46,0.6722817764165391,0.6705115081250063,6.8859593868255615,0.5513016845329249
Cross-Subject,Subject2,anova,GBoosting,30,0.5637309550353029,0.5617152753476317,212.67083263397217,0.5254552211073951
Subject-Dependent,Subject2,fi,SVM,22,0.6462480857580398,0.6416437765265627,1.6296491622924805,0.5513016845329249
Cross-Subject,Subject2,fi,SVM,22,0.5020438498699368,0.40540960296050144,62.81884050369263,0.5254552211073951
Subject-Dependent,Subject2,fi,KNN,22,0.5941807044410413,0.5849476701655918,0.011569976806640625,0.5513016845329249
Cross-Subject,Subject2,fi,KNN,22,0.5265700483091788,0.5268496468406935,0.20940375328063965,0.5254552211073951
Subject-Dependent,Subject2,fi,RF,22,0.6983154670750383,0.6981145294251455,8.227865219116211,0.5513016845329249
Cross-Subject,Subject2,fi,RF,22,0.5351170568561873,0.5315641282525432,29.654751300811768,0.5254552211073951
Subject-Dependent,Subject2,fi,DT,22,0.6049004594180705,0.6045668731798216,0.3445873260498047,0.5513016845329249
Cross-Subject,Subject2,fi,DT,22,0.5057599405425492,0.5060755196545083,39.66089844703674,0.5254552211073951
Subject-Dependent,Subject2,fi,GBoosting,22,0.6569678407350689,0.6559778233813065,3.3437793254852295,0.5513016845329249
Cross-Subject,Subject2,fi,GBoosting,22,0.5551839464882943,0.5533420755194013,127.58486247062683,0.5254552211073951
Subject-Dependent,Subject2,lcc,SVM,33,0.6431852986217458,0.6376800665191951,1.326134443283081,0.5513016845329249
Cross-Subject,Subject2,lcc,SVM,19,0.4953548866592345,0.41258405281774035,64.06832647323608,0.5254552211073951
Subject-Dependent,Subject2,lcc,KNN,33,0.6003062787136294,0.5965535509644438,0.0075304508209228516,0.5513016845329249
Cross-Subject,Subject2,lcc,KNN,19,0.5239687848383501,0.5239219814418553,0.05264639854431152,0.5254552211073951
Subject-Dependent,Subject2,lcc,RF,33,0.6906584992343032,0.6893164662801493,1.3422520160675049,0.5513016845329249
Cross-Subject,Subject2,lcc,RF,19,0.5421776291341509,0.5368948790507309,38.348169803619385,0.5254552211073951
Subject-Dependent,Subject2,lcc,DT,33,0.6140888208269525,0.614646475009971,1.285010576248169,0.5513016845329249
Cross-Subject,Subject2,lcc,DT,19,0.5254552211073951,0.5254985761853062,47.158233880996704,0.5254552211073951
Subject-Dependent,Subject2,lcc,GBoosting,33,0.6814701378254211,0.6795709910715236,29.50482153892517,0.5513016845329249
Cross-Subject,Subject2,lcc,GBoosting,19,0.5562987736900781,0.5494079475993516,117.44619345664978,0.5254552211073951
Subject-Dependent,Subject2,pca,SVM,51,0.6110260336906586,0.6082484841202109,0.46147632598876953,0.5513016845329249
Cross-Subject,Subject2,pca,SVM,34,0.48606465997770343,0.389946684363088,69.07929015159607,0.5254552211073951
Subject-Dependent,Subject2,pca,KNN,51,0.5635528330781011,0.5647019587570801,0.004807949066162109,0.5513016845329249
Cross-Subject,Subject2,pca,KNN,34,0.5351170568561873,0.5322929002678456,0.2884032726287842,0.5254552211073951
Subject-Dependent,Subject2,pca,RF,51,0.6094946401225115,0.609093485857053,3.575286865234375,0.5513016845329249
Cross-Subject,Subject2,pca,RF,34,0.5510962467484206,0.5423609400437771,27.57452654838562,0.5254552211073951
Subject-Dependent,Subject2,pca,DT,51,0.5467075038284839,0.5472625194103868,1.803434133529663,0.5513016845329249
Cross-Subject,Subject2,pca,DT,34,0.5065031586770717,0.506312391156315,48.91810417175293,0.5254552211073951
Subject-Dependent,Subject2,pca,GBoosting,51,0.6156202143950995,0.6136488184446657,8.666077613830566,0.5513016845329249
Cross-Subject,Subject2,pca,GBoosting,34,0.5607580824972129,0.5499608894400266,212.46686625480652,0.5254552211073951
Subject-Dependent,Subject3,none,SVM,84,0.6202143950995406,0.6208064309328132,1.1736881732940674,0.5513016845329249
Cross-Subject,Subject3,none,SVM,84,0.5644741731698253,0.5383306668807267,164.12303590774536,0.5254552211073951
Subject-Dependent,Subject3,none,KNN,84,0.5865237366003063,0.5872480033317571,0.005835533142089844,0.5513016845329249
Cross-Subject,Subject3,none,KNN,84,0.48234856930509107,0.48264116084978115,0.5426857471466064,0.5254552211073951
Subject-Dependent,Subject3,none,RF,84,0.6140888208269525,0.6148318542812649,6.275691509246826,0.5513016845329249
Cross-Subject,Subject3,none,RF,84,0.5195094760312151,0.43034235343890836,46.98742604255676,0.5254552211073951
Subject-Dependent,Subject3,none,DT,84,0.5390505359877489,0.5402641739855478,2.468303680419922,0.5513016845329249
Cross-Subject,Subject3,none,DT,84,0.5146785581568191,0.5083206962622724,41.17487096786499,0.5254552211073951
Subject-Dependent,Subject3,none,GBoosting,84,0.5911179173047473,0.5921782118116601,14.733521223068237,0.5513016845329249
Cross-Subject,Subject3,none,GBoosting,84,0.5380899293942772,0.42298064329775714,542.0127513408661,0.5254552211073951
Subject-Dependent,Subject3,anova,SVM,46,0.6539050535987749,0.6548167208768695,0.4246094226837158,0.5513016845329249
Cross-Subject,Subject3,anova,SVM,30,0.5800817539947974,0.5741559669823926,56.74006247520447,0.5254552211073951
Subject-Dependent,Subject3,anova,KNN,46,0.5635528330781011,0.5634824692497271,0.006207466125488281,0.5513016845329249
Cross-Subject,Subject3,anova,KNN,30,0.485321441843181,0.4856090725415036,0.07668256759643555,0.5254552211073951
Subject-Dependent,Subject3,anova,RF,46,0.6493108728943339,0.6498921900996434,3.3636088371276855,0.5513016845329249
Cross-Subject,Subject3,anova,RF,30,0.47305834262356,0.46062062766345446,52.36025595664978,0.5254552211073951
Subject-Dependent,Subject3,anova,DT,46,0.5436447166921899,0.5447701066727274,3.0185341835021973,0.5513016845329249
Cross-Subject,Subject3,anova,DT,30,0.49126718691936083,0.4907829015566872,41.260645627975464,0.5254552211073951
Subject-Dependent,Subject3,anova,GBoosting,46,0.6202143950995406,0.6210559756478821,8.867200374603271,0.5513016845329249
Cross-Subject,Subject3,anova,GBoosting,30,0.47045707915273133,0.4560279927251641,263.93518710136414,0.5254552211073951
Subject-Dependent,Subject3,fi,SVM,26,0.6508422664624809,0.6516159776117625,2.2288339138031006,0.5513016845329249
Cross-Subject,Subject3,fi,SVM,25,0.48494983277591974,0.37699117334383403,52.908671379089355,0.5254552211073951
Subject-Dependent,Subject3,fi,KNN,26,0.6033690658499234,0.604314686667643,0.020145416259765625,0.5513016845329249
Cross-Subject,Subject3,fi,KNN,25,0.49572649572649574,0.4928474301876013,0.26023435592651367,0.5254552211073951
Subject-Dependent,Subject3,fi,RF,26,0.6033690658499234,0.6042720868339816,1.8385756015777588,0.5513016845329249
Cross-Subject,Subject3,fi,RF,25,0.5314009661835749,0.41058669465164066,29.476230144500732,0.5254552211073951
Subject-Dependent,Subject3,fi,DT,26,0.554364471669219,0.5552177769166722,0.3225860595703125,0.5513016845329249
Cross-Subject,Subject3,fi,DT,25,0.5094760312151616,0.5010735998142102,12.64280104637146,0.5254552211073951
Subject-Dependent,Subject3,fi,GBoosting,26,0.5895865237366003,0.5906676159070842,5.911604166030884,0.5513016845329249
Cross-Subject,Subject3,fi,GBoosting,25,0.5380899293942772,0.4138674096395559,183.75770449638367,0.5254552211073951
Subject-Dependent,Subject3,lcc,SVM,37,0.655436447166922,0.6562992056266139,0.8658318519592285,0.5513016845329249
Cross-Subject,Subject3,lcc,SVM,26,0.5785953177257525,0.5730289160596297,69.7187488079071,0.5254552211073951
Subject-Dependent,Subject3,lcc,KNN,37,0.6033690658499234,0.6040265381476316,0.019481182098388672,0.5513016845329249
Cross-Subject,Subject3,lcc,KNN,26,0.4808621330360461,0.48119566607747694,0.22294998168945312,0.5254552211073951
Subject-Dependent,Subject3,lcc,RF,37,0.6477794793261868,0.648328544816722,1.9157488346099854,0.5513016845329249
Cross-Subject,Subject3,lcc,RF,26,0.4927536231884058,0.4844246045628618,32.332329750061035,0.5254552211073951
Subject-Dependent,Subject3,lcc,DT,37,0.5467075038284839,0.5478912857566562,1.7735319137573242,0.5513016845329249
Cross-Subject,Subject3,lcc,DT,26,0.49498327759197325,0.4951664631206357,19.243106365203857,0.5254552211073951
Subject-Dependent,Subject3,lcc,GBoosting,37,0.6416539050535988,0.6425532969872901,5.49756121635437,0.5513016845329249
Cross-Subject,Subject3,lcc,GBoosting,26,0.47640282422891117,0.46872392600081775,281.0173544883728,0.5254552211073951
Subject-Dependent,Subject3,pca,SVM,46,0.5620214395099541,0.5617262440722863,0.4619405269622803,0.5513016845329249
Cross-Subject,Subject3,pca,SVM,35,0.5551839464882943,0.5454715748741173,40.53909516334534,0.5254552211073951
Subject-Dependent,Subject3,pca,KNN,46,0.5497702909647779,0.5508401521123867,0.03893637657165527,0.5513016845329249
Cross-Subject,Subject3,pca,KNN,35,0.4938684503901895,0.4939407464907533,0.10822820663452148,0.5254552211073951
Subject-Dependent,Subject3,pca,RF,46,0.6186830015313936,0.6190617851886875,1.0847337245941162,0.5513016845329249
Cross-Subject,Subject3,pca,RF,35,0.4775176514306949,0.4711325438538498,14.557621955871582,0.5254552211073951
Subject-Dependent,Subject3,pca,DT,46,0.5206738131699847,0.5219384814536259,0.3794097900390625,0.5513016845329249
Cross-Subject,Subject3,pca,DT,35,0.4953548866592345,0.4954751408186185,15.803138017654419,0.5254552211073951
Subject-Dependent,Subject3,pca,GBoosting,46,0.6125574272588055,0.6135275512157036,7.311351299285889,0.5513016845329249
Cross-Subject,Subject3,pca,GBoosting,35,0.46191007060572276,0.45640379105189144,218.99818658828735,0.5254552211073951
Subject-Dependent,Subject4,none,SVM,84,0.666156202143951,0.6664452731135913,1.1087868213653564,0.5513016845329249
Cross-Subject,Subject4,none,SVM,84,0.47491638795986624,0.3267838644590182,141.59657168388367,0.5254552211073951
Subject-Dependent,Subject4,none,KNN,84,0.554364471669219,0.553454805855128,0.0067539215087890625,0.5513016845329249
Cross-Subject,Subject4,none,KNN,84,0.5261984392419174,0.5265052232360743,0.6682643890380859,0.5254552211073951
Subject-Dependent,Subject4,none,RF,84,0.6385911179173047,0.6395431244554919,3.319974184036255,0.5513016845329249
Cross-Subject,Subject4,none,RF,84,0.5704199182460052,0.5694535571938936,52.033921003341675,0.5254552211073951
Subject-Dependent,Subject4,none,DT,84,0.554364471669219,0.5553790628134696,3.7843589782714844,0.5513016845329249
Cross-Subject,Subject4,none,DT,84,0.5176514306949089,0.5179568968777247,47.591365814208984,0.5254552211073951
Subject-Dependent,Subject4,none,GBoosting,84,0.6431852986217458,0.6440359922531305,15.764973640441895,0.5513016845329249
Cross-Subject,Subject4,none,GBoosting,84,0.5964325529542921,0.5961072252978187,554.4032723903656,0.5254552211073951
Subject-Dependent,Subject4,anova,SVM,43,0.6324655436447167,0.6333229254305327,0.5849266052246094,0.5513016845329249
Cross-Subject,Subject4,anova,SVM,30,0.47640282422891117,0.41162720836104094,74.64325428009033,0.5254552211073951
Subject-Dependent,Subject4,anova,KNN,43,0.5604900459418071,0.561218596325754,0.05151677131652832,0.5513016845329249
Cross-Subject,Subject4,anova,KNN,30,0.5154217762913416,0.515725587089905,0.5293557643890381,0.5254552211073951
Subject-Dependent,Subject4,anova,RF,43,0.6171516079632465,0.6181355624267856,2.6405396461486816,0.5513016845329249
Cross-Subject,Subject4,anova,RF,30,0.5496098104793757,0.5487032279722891,44.32965660095215,0.5254552211073951
Subject-Dependent,Subject4,anova,DT,43,0.5941807044410413,0.594957769357107,0.6182184219360352,0.5513016845329249
Cross-Subject,Subject4,anova,DT,30,0.4990709773318469,0.49939183723174546,13.375941753387451,0.5254552211073951
Subject-Dependent,Subject4,anova,GBoosting,43,0.6202143950995406,0.6210044059095305,6.879459857940674,0.5513016845329249
Cross-Subject,Subject4,anova,GBoosting,30,0.5507246376811594,0.5507656841096593,241.56051301956177,0.5254552211073951
Subject-Dependent,Subject4,fi,SVM,26,0.6539050535987749,0.6544445701242572,1.888758897781372,0.5513016845329249
Cross-Subject,Subject4,fi,SVM,25,0.4767744332961724,0.3317874619648724,57.09147572517395,0.5254552211073951
